epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.6908,3.32488,4.31459,4.22175,0.00469,0.22065,0.04411,0.01084,2.97118,4.30442,4.15727,0.00013332,0.00013332,0.00013332
2,116.75,3.36425,4.21706,4.17706,0.00456,0.23787,0.01331,0.00413,2.96658,4.29495,4.15054,0.000275,0.000275,0.000275
3,173.777,3.37412,4.082,4.11513,0.00424,0.23418,0.08116,0.02292,2.95332,4.26314,4.12798,0.000413821,0.000413821,0.000413821
4,230.943,3.29209,3.86134,4.00523,0.00416,0.23531,0.05277,0.0197,2.89725,4.19055,4.07971,0.000549782,0.000549782,0.000549782
5,288.541,3.31425,3.57731,3.87134,0.00391,0.24796,0.027,0.00651,2.90788,4.13405,4.01534,0.000682883,0.000682883,0.000682883
6,346.841,3.28743,3.37388,3.70381,0.00368,0.25862,0.01537,0.00422,2.86228,4.00086,3.9189,0.000813124,0.000813124,0.000813124
7,405.103,3.1421,3.03911,3.48491,0.00399,0.27487,0.01273,0.005,2.80107,4.14816,3.86647,0.000940506,0.000940506,0.000940506
8,463.338,3.06476,2.91415,3.31106,0.47745,0.07989,0.03131,0.01142,2.89754,4.36188,3.55521,0.00103401,0.00103401,0.00103401
9,521.902,2.91647,2.80461,3.17104,0.65747,0.15656,0.08085,0.02987,2.75063,4.32781,3.15168,0.00102301,0.00102301,0.00102301
10,581.157,2.80147,2.64704,3.03102,0.18503,0.2299,0.13584,0.04788,2.55213,3.85312,2.90819,0.00101201,0.00101201,0.00101201
11,639.716,2.6882,2.45463,2.92306,0.25113,0.33603,0.16905,0.06888,2.38482,3.74932,2.76353,0.00100101,0.00100101,0.00100101
12,698.946,2.60683,2.37435,2.84774,0.2282,0.40153,0.20434,0.07894,2.2831,5.68683,2.7238,0.000990012,0.000990012,0.000990012
13,757.662,2.48609,2.25769,2.74307,0.22185,0.43193,0.19576,0.07403,2.22443,4.11357,2.58475,0.000979013,0.000979013,0.000979013
14,815.52,2.44396,2.19498,2.64977,0.34148,0.47744,0.35277,0.1482,2.10647,3.02124,2.44941,0.000968014,0.000968014,0.000968014
15,884.183,2.3922,2.12026,2.60954,0.39487,0.51535,0.41517,0.1828,2.01975,2.40003,2.34919,0.000957015,0.000957015,0.000957015
16,942.538,2.35633,2.13616,2.55288,0.42655,0.44648,0.40863,0.18029,2.04714,2.21505,2.3592,0.000946016,0.000946016,0.000946016
17,1000.79,2.27853,2.07044,2.51939,0.4175,0.51899,0.42883,0.19449,1.98901,2.12289,2.28568,0.000935018,0.000935018,0.000935018
18,1059.52,2.25614,2.04034,2.47294,0.41081,0.54562,0.52336,0.25399,1.9394,2.23054,2.21318,0.000924019,0.000924019,0.000924019
19,1118.98,2.22162,1.96569,2.44397,0.43843,0.61391,0.51492,0.24582,1.94237,2.29001,2.23103,0.00091302,0.00091302,0.00091302
20,1177.42,2.18639,1.98865,2.40594,0.53663,0.58236,0.55523,0.29771,1.84886,1.95095,2.17054,0.000902021,0.000902021,0.000902021
21,1235.84,2.10374,1.86849,2.32468,0.52637,0.59643,0.56249,0.29769,1.87119,1.86613,2.12908,0.000891022,0.000891022,0.000891022
22,1324.36,2.08235,1.77168,2.30594,0.45998,0.63154,0.56917,0.27802,1.87345,2.04338,2.11797,0.000880023,0.000880023,0.000880023
23,1383.14,2.07227,1.78269,2.27718,0.51368,0.6437,0.61909,0.33159,1.79577,1.86834,2.05134,0.000869024,0.000869024,0.000869024
24,1441.54,2.01768,1.77964,2.26554,0.62641,0.71211,0.68545,0.37128,1.7698,1.67963,2.05274,0.000858025,0.000858025,0.000858025
25,1499.98,1.96722,1.73862,2.22479,0.63186,0.63069,0.68973,0.37173,1.72766,1.72636,2.01725,0.000847026,0.000847026,0.000847026
26,1559.46,1.94947,1.70488,2.21441,0.59247,0.73223,0.64931,0.35424,1.71548,1.61599,2.00378,0.000836027,0.000836027,0.000836027
27,1618.38,1.91151,1.67101,2.16402,0.58356,0.7019,0.69373,0.40985,1.60563,1.62271,1.91861,0.000825029,0.000825029,0.000825029
28,1677.46,1.84343,1.62482,2.10941,0.68845,0.737,0.72694,0.42835,1.57666,1.53779,1.8771,0.00081403,0.00081403,0.00081403
29,1736.3,1.80073,1.55452,2.07759,0.68927,0.63842,0.70956,0.39013,1.74363,1.65744,2.00272,0.000803031,0.000803031,0.000803031
30,1794.81,1.79368,1.5566,2.05691,0.63593,0.71765,0.73902,0.43104,1.62308,1.46073,1.89841,0.000792032,0.000792032,0.000792032
31,1852.6,1.83177,1.54291,2.06486,0.61095,0.76717,0.73872,0.43542,1.5825,1.46551,1.8516,0.000781033,0.000781033,0.000781033
32,1913.81,1.73716,1.45698,1.97541,0.62532,0.71379,0.6989,0.42756,1.56343,1.43772,1.85959,0.000770034,0.000770034,0.000770034
33,1979.23,1.72053,1.44879,1.96937,0.64577,0.77651,0.75433,0.45872,1.52312,1.32717,1.80476,0.000759035,0.000759035,0.000759035
34,2042.5,1.66117,1.41051,1.9386,0.74411,0.76373,0.77752,0.47845,1.45095,1.27195,1.75511,0.000748036,0.000748036,0.000748036
35,2102.66,1.65309,1.37487,1.92501,0.65453,0.76016,0.75415,0.46387,1.49162,1.32207,1.78984,0.000737037,0.000737037,0.000737037
36,2160.68,1.59448,1.33562,1.86427,0.7621,0.64247,0.7736,0.47123,1.4293,1.30935,1.72685,0.000726038,0.000726038,0.000726038
37,2219.4,1.56219,1.31823,1.85188,0.67178,0.7673,0.77453,0.47907,1.41019,1.30677,1.69597,0.00071504,0.00071504,0.00071504
38,2277.84,1.59846,1.33934,1.85972,0.76789,0.78094,0.82634,0.51415,1.41426,1.24603,1.72093,0.000704041,0.000704041,0.000704041
39,2342.47,1.57199,1.30985,1.81475,0.74586,0.806,0.79913,0.49574,1.42621,1.21618,1.70935,0.000693042,0.000693042,0.000693042
40,2400.42,1.5083,1.24188,1.8026,0.72601,0.85004,0.81841,0.52072,1.37766,1.14987,1.64059,0.000682043,0.000682043,0.000682043
41,2457.41,1.50191,1.24432,1.79346,0.78178,0.83104,0.83305,0.52368,1.39416,1.13282,1.66995,0.000671044,0.000671044,0.000671044
42,2515.35,1.48079,1.233,1.75781,0.76182,0.83193,0.82417,0.50427,1.38306,1.17287,1.64275,0.000660045,0.000660045,0.000660045
43,2573.48,1.46614,1.22349,1.7589,0.82211,0.79745,0.84577,0.53878,1.3396,1.09263,1.61097,0.000649046,0.000649046,0.000649046
44,2644.28,1.44426,1.19159,1.72818,0.78651,0.84603,0.85144,0.5517,1.27417,1.07962,1.58538,0.000638047,0.000638047,0.000638047
45,2701.86,1.40602,1.14423,1.68652,0.83595,0.84897,0.86342,0.57256,1.26431,1.05117,1.5753,0.000627048,0.000627048,0.000627048
46,2759.28,1.41925,1.17151,1.72688,0.82868,0.8622,0.87341,0.54804,1.36372,1.12877,1.62621,0.000616049,0.000616049,0.000616049
47,2816.69,1.39945,1.12457,1.68723,0.82909,0.88126,0.87723,0.57211,1.26836,1.0135,1.55231,0.000605051,0.000605051,0.000605051
48,2875.76,1.37026,1.08831,1.65568,0.77545,0.86012,0.84536,0.53248,1.30203,1.03587,1.57001,0.000594052,0.000594052,0.000594052
49,2936.91,1.35676,1.08977,1.65563,0.8371,0.85435,0.87417,0.56147,1.32792,1.03035,1.5954,0.000583053,0.000583053,0.000583053
50,2994.76,1.36718,1.09196,1.63574,0.78996,0.86579,0.8691,0.56867,1.23493,1.01419,1.50235,0.000572054,0.000572054,0.000572054
51,3052.16,1.32651,1.09837,1.63602,0.81028,0.88473,0.87585,0.57194,1.23008,1.01034,1.50385,0.000561055,0.000561055,0.000561055
52,3109.43,1.3356,1.04971,1.59818,0.83974,0.88643,0.89942,0.60126,1.19585,0.93655,1.48086,0.000550056,0.000550056,0.000550056
53,3168.47,1.35003,1.06716,1.59785,0.80859,0.88177,0.86459,0.54887,1.26482,1.00675,1.53337,0.000539057,0.000539057,0.000539057
54,3225.18,1.34441,1.05389,1.62933,0.8779,0.87749,0.89518,0.60587,1.21304,0.95775,1.47712,0.000528058,0.000528058,0.000528058
55,3283.25,1.32797,1.01244,1.58231,0.86816,0.85254,0.89616,0.59564,1.23913,0.93931,1.4906,0.000517059,0.000517059,0.000517059
56,3340.91,1.27524,1.00523,1.56318,0.84515,0.89755,0.88716,0.58053,1.19089,0.93942,1.48726,0.00050606,0.00050606,0.00050606
57,3399.05,1.2587,1.01263,1.56846,0.86486,0.89025,0.89453,0.60005,1.1782,0.92831,1.44865,0.000495062,0.000495062,0.000495062
58,3456.27,1.22649,0.98979,1.55855,0.86972,0.88475,0.89989,0.61238,1.14588,0.89582,1.41882,0.000484063,0.000484063,0.000484063
59,3514.09,1.23445,0.96618,1.5251,0.84856,0.90539,0.8934,0.6046,1.14186,0.89745,1.42383,0.000473064,0.000473064,0.000473064
60,3571.39,1.23293,0.96017,1.52127,0.87338,0.9051,0.90193,0.61386,1.15142,0.8971,1.42473,0.000462065,0.000462065,0.000462065
61,3629.13,1.23188,0.99386,1.53852,0.86715,0.9202,0.90274,0.60673,1.1594,0.88088,1.43285,0.000451066,0.000451066,0.000451066
62,3686.77,1.22569,0.93272,1.53775,0.87845,0.91256,0.90857,0.61383,1.15627,0.86746,1.42372,0.000440067,0.000440067,0.000440067
63,3744.44,1.23967,0.99025,1.54256,0.87933,0.92767,0.9159,0.62472,1.09481,0.86551,1.37924,0.000429068,0.000429068,0.000429068
64,3801.56,1.17746,0.92103,1.49549,0.86283,0.91685,0.90946,0.63178,1.07788,0.85722,1.36516,0.000418069,0.000418069,0.000418069
65,3859.29,1.18391,0.92404,1.49764,0.86977,0.91133,0.90436,0.62884,1.05719,0.863,1.38042,0.00040707,0.00040707,0.00040707
66,3916.91,1.17468,0.89907,1.47218,0.88477,0.91751,0.91285,0.62742,1.0966,0.83354,1.38322,0.000396071,0.000396071,0.000396071
67,3973.96,1.16375,0.90207,1.48709,0.87941,0.92453,0.90543,0.6229,1.07499,0.86425,1.37817,0.000385073,0.000385073,0.000385073
68,4031.73,1.17673,0.91236,1.49576,0.87273,0.92428,0.91167,0.62778,1.08407,0.81566,1.36011,0.000374074,0.000374074,0.000374074
69,4088.88,1.21822,0.93438,1.46725,0.8757,0.91153,0.91064,0.62948,1.0831,0.82828,1.3636,0.000363075,0.000363075,0.000363075
70,4147.35,1.15726,0.87828,1.46733,0.88272,0.91059,0.9132,0.63002,1.07616,0.82727,1.3698,0.000352076,0.000352076,0.000352076
